t_s,x0_m,x1_m,x2_m,v0_m_per_s,v1_m_per_s,v2_m_per_s
0.000248,9.351721662402627e-09,5.81472027462907e-11,4.140581031335218e-14,0.00015021759822537957,1.3657871006271113e-06,1.1374084149195593e-09
0.00025,9.655781083740156e-09,6.093263701711275e-11,4.373475068170762e-14,0.00015385257335380451,1.4199620213993215e-06,1.1919297930755362e-09
0.000252,9.967167924038365e-09,6.382811248969459e-11,4.61748763093459e-14,0.00015754509760735483,1.4758356184042028e-06,1.2486061512076255e-09
0.000254,1.0285997710247614e-08,6.683706571823762e-11,4.873056417973065e-14,0.00016129559955790183,1.5334472033225616e-06,1.3075048014479935e-09
0.000256,1.0612386825776846e-08,6.996301246789472e-11,5.1406327447072785e-14,0.0001651045070914186,1.5928366761552066e-06,1.3686946067211913e-09
0.000258,1.0946452509117863e-08,7.320954889529998e-11,5.420681856094572e-14,0.00016897224740406868,1.6540445291101592e-06,1.4322460038026906e-09
0.00026,1.1288312852461826e-08,7.658035273685942e-11,5.713683243716741e-14,0.0001728992469983091,1.7171118504762856e-06,1.4982310265270968e-09
0.00026199999999999997,1.1638086800307945e-08,8.007918450477511e-11,6.020130967524807e-14,0.00017688593167900646,1.7820803284832766e-06,1.566723329145472e-09
0.00026399999999999997,1.1995894148064424e-08,8.370988869077569e-11,6.340533982270104e-14,0.00018093272654956663,1.8489922551478862e-06,1.6377982098311848e-09
0.000266,1.2361855540641688e-08,8.74763949775255e-11,6.675416468651363e-14,0.00018504005600807828,1.9178905301063704e-06,1.711532634333724e-09
0.000268,1.2736092471037894e-08,9.138271945768485e-11,7.025318169207294e-14,0.00018920834374347003,1.988818664433035e-06,1.7880052597798811e-09
0.00027,1.3118727278916781e-08,9.543296586059315e-11,7.390794728984095e-14,0.00019343801273168128,2.0618207844448116e-06,1.8672964586217313e-09
0.000272,1.3509883149177887e-08,9.963132678654754e-11,7.772418041007191e-14,0.00019772948523184725,2.136941635491811e-06,1.9494883427308186e-09
0.000274,1.3909684110519116e-08,1.0398208494864813e-10,8.170776596586388e-14,0.00020208318278249767,2.2142265857337377e-06,2.034664787637955e-09
0.000276,1.4318255033991755e-08,1.0848961442218226e-10,8.586475840483489e-14,0.00020649952619776978,2.2937216299021207e-06,2.12291145691805e-09
0.000278,1.47357216315479e-08,1.1315838190151866e-10,9.020138530971342e-14,0.0002109789355636352,2.375473393048281e-06,2.2143158267193613e-09
0.00028,1.5162210454580372e-08,1.1799294796448347e-10,9.472405104813126e-14,0.00021552183023414121,2.4595291342769433e-06,2.3089672104365817e-09
0.00028199999999999997,1.5597848892455122e-08,1.2299796834418877e-10,9.943934047190585e-14,0.00022012862882766614,2.5459367504654325e-06,2.4069567835271497e-09
0.00028399999999999996,1.604276517103615e-08,1.2817819520828546e-10,1.0435402266609809e-13,0.00022479974922318924,2.634744779968375e-06,2.5083776084701848e-09
0.000286,1.6497088351203005e-08,1.3353847844561052e-10,1.0947505474813e-13,0.00022953560855657482,2.7260024063078303e-06,2.6133246598674347e-09
0.000288,1.6960948327360826e-08,1.3908376696020021e-10,1.1480958571724595e-13,0.00023433662321687101,2.819759461848776e-06,2.7218948496856344e-09
0.00029,1.7434475825943046e-08,1.4481910997263939e-10,1.203649603545994e-13,0.0002392032088426233,2.9160664314598807e-06,2.834187052639645e-09
0.000292,1.79178024039067e-08,1.5074965832871777e-10,1.2614872317424623e-13,0.00024413578031820201,3.0149744561594785e-06,2.9503021317157717e-09
0.000294,1.8411060447220414e-08,1.56880665815363e-10,1.3216862242532446e-13,0.00024913475177014546,3.1165353367466778e-06,3.0703429638346343e-09
0.000296,1.8914383169345096e-08,1.6321749048382124e-10,1.3843261414569854e-13,0.00025420053656351687,3.2208015374175395e-06,3.1944144656529647e-09
0.000298,1.9427904609707365e-08,1.697655959800552e-10,1.4494886626734601e-13,0.00025933354729827744,3.3278261893662373e-06,3.3226236195037134e-09
0.0003,1.995175963216571e-08,1.7653055288232905e-10,1.5172576277376182e-13,0.0002645341958056727,3.437663094371135e-06,3.455079499473826e-09
0.00030199999999999997,2.0486083923469484e-08,1.8351804004595072e-10,1.5877190790965556e-13,0.0002698028931446358,3.5503667283657145e-06,3.5918932976190672e-09
